textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
4d05d59122, inooo arent they just  i wanna just go down there now an meet kyle again.. im too obsessed its not fair!,negative,morning,0-20,Belarus,9449323,202910,47
5a2393940b,I need a bear hug  and Im going to camp today!!,neutral,noon,21-30,Belgium,11589623,30280,383
2fd9eef1f8," If I could, I`d send California sunshine your way.",positive,night,31-45,Belize,397628,22810,17
938c32de3e,I need a present for my mom.  Could anybody help me ?!,positive,morning,46-60,Benin,12123200,112760,108
0e3d04ed05," I am in Weirton Julie, way up North at the tippy top! LOL we don`t think southern WV folks like us too much.",negative,noon,60-70,Bhutan,771608,3.81E+04,20
9a0fce6d7e,learning how to use twitter,neutral,night,70-100,Bolivia,11673021,1083300,11
32eb024489,bad mood and i dont feel good. too bad no one cares,negative,morning,0-20,Bosnia and Herzegovina,3280819,51000,64
6af90a76e4," I love you so much.  Just got into my hiding spot, gonna go check out datalounge",positive,noon,21-30,Botswana,2351627,566730,4
2b68738448, - Try this one  ,neutral,night,31-45,Brazil,212559417,8358140,25
af087c9deb,"  youre diabetic?   so is my dad.  & i might be too, not sure.  are you still allowed to eat sugar throughout the day?",negative,morning,46-60,Brunei,437479,5270,83
8823244442,I just really want to sleep butmy eyes won`t let me,negative,noon,60-70,Bulgaria,6948445,108560,64
9bb06e4848, You should check yourz Rayne.,neutral,night,70-100,Burkina Faso,20903273,273600,76
717e76b467,"_66 I haven`t had slip-ons in years, since my checkered days. Matter of fact I only have my torn up all black classics.",neutral,morning,0-20,Burundi,11890784,25680,463
3b6fdcc518," Ian and I are going to a matinee tomorrow, or that`s the plan at least...it`s going to be too expensive for 3d at night",negative,noon,21-30,C�te d'Ivoire,26378274,318000,83
f6cb27e38e,He will be here in less than hour,neutral,night,31-45,Cabo Verde,555987,4.03E+03,138
419f3e9ef8," I know, but work is so boring. I prefer the  take on life",negative,morning,46-60,Cambodia,16718965,176520,95
f29654c873, Gmorning Hermana! Thank you for your testimonial it is wonderful. Posted already.,positive,noon,60-70,Cameroon,26545863,472710,56
7e46f3f92a, ha. nothing any man does is right on mothers day except for taking kids off mum`s hands for whole day,neutral,night,70-100,Canada,37742154,9093510,4
43ad351369,"AHHH - Whatchu talkinï¿½ baby?  HAHAHA I canï¿½t believe youu:O heh, actually I can. Life is worth taking risks... http://tumblr.com/xs81qy54s",positive,morning,0-20,Central African Republic,4829767,622980,8
853ebd7b47, Our raid leader made us run drills to practice switching,neutral,noon,21-30,Chad,16425864,1259200,13
ef60a2d1e7," And Clang rocks, so you`re using it, right?  Anyways, according to the comments it`s in apple`s gcc too, dunno how public tho",neutral,night,31-45,Chile,19116201,743532,26
983088f2b4,"Unlike cierra, i look like poop today. Whatevahh, lol.",neutral,morning,46-60,China,1439323776,9388211,153
50b353f751,Off to enjoy a Hanami picnic at the cherry tree park. Hope the weather stays nice.,positive,noon,60-70,Colombia,50882891,1109500,46
c4cad35b0f,The comp deleted half my apps,negative,night,70-100,Comoros,869601,1861,467
9c44566550,"In Whin Park on the swings, victory is all mine right now",positive,morning,0-20,Congo (Congo-Brazzaville),5518087,3.42E+05,16
32b28d840b,Well it would seem that you can enter nine 0s if you are an Individual without a SSN/ITIN or EIN according to Apple.  Hurray!,positive,noon,21-30,Costa Rica,5094118,51060,100
d576839165, because its like ten times better than this place xD and its so beautiful and fun  and they have gold coast hot dogs!! xD,positive,night,31-45,Croatia,4105267,55960,73
86f3b2e352,Whole body is sore from moving hundreds of pieces of luggage last weekend.   Guess I should visit the gym more often,neutral,morning,46-60,Cuba,11326616,106440,106
ef1eb004ff, oh you are too kind,positive,noon,60-70,Cyprus,1207359,9240,131
36bc98037c," yeah, so quick! And I`m using the 5mm addi`s I bought on Sat and it makes it even smoother",positive,night,70-100,Czechia (Czech Republic),10708981,77240,139
faaf6a6f64, I don`t even look at their fabric unless I need polar fleece.   It`s worth the extra $ to go to Needle and Thread.,neutral,morning,0-20,Democratic Republic of the Congo,89561403,2267050,40
69789cff46,Pleeaaasee come out sun,neutral,noon,21-30,Denmark,5792202,42430,137
586a76af3d,"  ummm...last night when I DM`d you, you said it was a 'good' question.",positive,night,31-45,Djibouti,988000,23180,43
dfd9f1800b," man, I am really sorry",negative,morning,46-60,Dominica,71986,750,96
e0090fba83,watching the jobros live chat .. not live though  haha.,neutral,noon,60-70,Dominican Republic,10847910,4.83E+04,225
d9e1b10a4f,wow.. tomorrow and then it`s over. i`ll never see some of those people again. it`s kind of sad.,negative,night,70-100,Ecuador,17643054,248360,71
0e5d9cd378,NCAA Baseball Road 2 Omaha: South Carolina just hit a 3-run homerun. Dagger 2 my heart.    Mason 1 - South Carolina 3..,negative,morning,0-20,Egypt,102334404,995450,103
1a82a50aa9," I send messages to greg all the time, no answer  its ok I still love o & a, goog luck with your move to Erie.",positive,noon,21-30,El Salvador,6486205,20720,313
57ee48d640, the honesty`s to much...........  Sorry couldn`t resist;),neutral,night,31-45,Equatorial Guinea,1402985,28050,50
e0794d1a3e,oh ok i always wondered how that worked. i only have the top of my ear done. i dont think i could get anything else pierced,neutral,morning,46-60,Eritrea,3546421,101000,35
2baa1924cd,noooooooo...another headache...hopefully not a migraine,neutral,noon,60-70,Estonia,1326535,42390,31
c3261537c6,10.11PM~ todays a drag for me. so bored. im about to get into the romance book so i prob wont be on til the morn  night twitter babes ;),negative,night,70-100,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67
4acd2d7380,"twitter fam, i`m about to hop back on AIM i went ghost on y`all lolz sowwy",negative,morning,0-20,Ethiopia,114963588,1000000,115
259ab53f07, i make them good girls go bad,negative,noon,21-30,Fiji,896445,18270,49
c180265483,Sites that republish my blog`s feed often end up higher than my blog on Google search results,negative,night,31-45,Finland,5540720,3.04E+05,18
1e7956b538,Going to have dinner. bbs,neutral,morning,46-60,France,65273511,547557,119
c8a9799256, we can all but hope... georgia is still wide awake and has the hiccups,neutral,noon,60-70,Gabon,2225734,257670,9
9fdac069e1,no phone  i knew i should`ve charged it last night. SIGH,neutral,night,70-100,Gambia,2416668,10120,239
e27ea173e0, quite,neutral,morning,0-20,Georgia,3989167,69490,57
e468a185dc,oh yes! Level 40,positive,noon,21-30,Germany,83783942,348560,240
fe626ba958,my baby`s off on his adventure. 14.5 hours in the car up to Lake Ann Mi. I admit it. I cried a little when the truck pulled out...,negative,night,31-45,Ghana,31072940,227540,137
995db37ffd, http://twitpic.com/4uyn9 - I NEED THIS. RIGHT NOW. THIS IS ABSOLUTELY MINDDDD BLOWING  I love this. So much!,positive,morning,46-60,Greece,10423054,128900,81
a539826f28,frustrated by my stupid iPhone I need a blackberry!!!!,negative,noon,60-70,Grenada,112523,340,331
5efc764068,Woo - got a fast mobile broadband connection now,neutral,night,70-100,Guatemala,17915568,107160,167
e133dbdc62, But I really want a Sporebat pet.,neutral,morning,0-20,Guinea,13132795,2.46E+05,53
e74af209c6,I`m still at the mothers day lunch at my uncles house. Having a nice time!,positive,noon,21-30,Guinea-Bissau,1968001,28120,70
aca7565010, Oh! I ate pizza last night too!  I stupidly feel closer to you somehow!,positive,night,31-45,Guyana,786552,196850,4
cac874449f," Oh right,sorry,now i get ya,But still 3000 email`s,wow,cool",negative,morning,46-60,Haiti,11402528,27560,414
bff45fe27f,? I had great time in Boston. Thanks to my baby girl.   http://plurk.com/p/rplmy,positive,noon,60-70,Holy See,801,0,2003
60521a571e, my bad homie,negative,night,70-100,Honduras,9904607,111890,89
3b6a25d97c,  i'm awake whats for breakfast lulu **** on a shingle ha ha ha,neutral,morning,0-20,Hungary,9660351,90530,107
bcf13877f7,Good morning everyone,positive,noon,21-30,Iceland,341243,100250,3
c4a8602e0a," love this one, especially the shoes  anyway, gmn punya acc lookbook ya? http://lookbook.nu/look/92920",positive,night,31-45,India,1380004385,2973190,464
4e06f98760,shake shake shake shake shake it,neutral,morning,46-60,Indonesia,273523615,1811570,151
62aebe35b6,Raining again,neutral,noon,60-70,Iran,83992949,1.63E+06,52
0237b6fd87,good morning world,positive,night,70-100,Iraq,40222493,434320,93
c860b3f840,i hope that everyone has been having a great week.  let me know if you think im crazy for hating coffee XD.,neutral,morning,0-20,Ireland,4937786,68890,72
cfdb8ea6d8,back to br,neutral,noon,21-30,Israel,8655535,21640,400
935a3c2bf5,Time to put the weapons on the charger for the night.  Sleep tight,neutral,night,31-45,Italy,60461826,294140,206
c1e33be64e,Using tiffys computer...it feels different from mine... the touch is different.,neutral,morning,46-60,Jamaica,2961167,10830,273
000b3211af,And ... Happy Mother`s Day to all Moms   You sure are the ? heart of mankind.,positive,noon,60-70,Japan,126476461,364555,347
ffa3258a83, Are they both still talking to you then?,neutral,night,70-100,Jordan,10203134,88780,115
10f2498c35,I want Crimson Gem Saga.  I will just go play RF Guerilla demo repeatedly. I (Mission Failed - YOU DIED) so many times from dicking around,neutral,morning,0-20,Kazakhstan,18776707,2699700,7
35674461fe, lol that was a great movie,positive,noon,21-30,Kenya,53771296,569140,94
4c086d6a58,will b having my last V tomorow   will have2live off of apples n not caffeine ;( n have2cut down on chocolate bye bye chocy,neutral,night,31-45,Kiribati,119449,8.10E+02,147
d6a8cee69b,I was awoken by loud banging and it continues all day  Good thing I got an early rest last night!,neutral,morning,46-60,Kuwait,4270571,17820,240
8e4553e921, Let`s go!,neutral,noon,60-70,Kyrgyzstan,6524195,191800,34
cbfe82ef26,feels really sick.,negative,night,70-100,Laos,7275560,230800,32
9fb92f7504,Hecks yeah. Jandy timsamlake is too rawesome!,positive,morning,0-20,Latvia,1886198,62200,30
49ffb6b465,**** internet jus cut me off!  was bout 2 shoot sum guys eye out  ~*~KANDI~*~,negative,noon,21-30,Lebanon,6825445,10230,667
ed0ace22bf, u don`t have school today????,neutral,night,31-45,Lesotho,2142249,30360,71
dc346c6f1c,Not only has it broken but it`s Monday!!Does this mean Monday can be fix`d?  ? http://blip.fm/~5jgio,negative,morning,46-60,Liberia,5057681,96320,53
178b3ca782,People at work are stressing me out.,negative,noon,60-70,Libya,6871292,1759540,4
0e83e0955a, rt i have had few hearts the past few days on etsy  boo hoo....totally the same for me too ((((((,neutral,night,70-100,Liechtenstein,38128,160,238
6d3596cdb3,love it when my sister brags! but she`s too tired too spell bowling right! haha its ok I <3 her!!,neutral,morning,0-20,Lithuania,2722289,6.27E+04,43
696a2abd8a,never trust someone else`s battery operated power tools when you`re in a hurry,positive,noon,21-30,Luxembourg,625978,2590,242
26d169a9e9, Lol Your tweets are so funny! I met you in Calgary! You`re awesome  Can`t wait for the next HP movie!,positive,night,31-45,Madagascar,27691018,581795,48
52fd9f56fb,is off to work ... still 'recovering' from an amazing and beautiful weekend. Have I mentioned how incredible my friends are??,positive,morning,46-60,Malawi,19129952,94280,203
2f7b589c41, so`s the smell of cigarettes and alcohol... at least *i * like it.,positive,noon,60-70,Malaysia,32365999,328550,99
1620bd719e,All done. No more internship.,neutral,night,70-100,Maldives,540544,300,1802
6e805ea65a,RIP to officer Edwards. May GOD continue to bless his family. What`s up wit cops killing cops. Seen the same thing happen on 'The WIRE'.,neutral,morning,0-20,Mali,20250833,1220190,17
08f6036add,"Invasion of the Old Ladies has just ended, still have to clean up not going to be able to make it to the tweetup tonight.",neutral,noon,21-30,Malta,441543,320,1380
ce4b5fe266,`s current goal is to lose 10 pounds by next tuesday! 120 here i come   soooo ready for Gatlinburg!,positive,night,31-45,Marshall Islands,59190,180,329
792c97a352,my best friends bought something which i really want.,positive,morning,46-60,Mauritania,4649658,1030700,5
384a8c1c53," It depends on your goals & how much you want to spend  Cannondale, Specialized and Cervelo are all good brands.",positive,noon,60-70,Mauritius,1271768,2.03E+03,626
8c08631422,On the phone to mum  http://tinyurl.com/otdn9u,neutral,night,70-100,Mexico,128932753,1943950,66
daed8640af, me tooo,neutral,morning,0-20,Micronesia,115023,700,164
0c79867978,My net died so yeah....  I`m sad now,negative,noon,21-30,Moldova,4033963,32850,123
fe588dce16, then am anticipating the next ten days!,neutral,night,31-45,Monaco,39242,1,26337
30b5985a07,i dont know why i follow sme of the ppl that i do... they e anoying and boring. * note to self -unfollow peeps on monday morning,negative,morning,46-60,Mongolia,3278290,1553560,2
c3e87ee9c0," yeah, when you start reaching your early-mid-20s",neutral,noon,60-70,Montenegro,628066,13450,47
5bbfbb31da,getting ready to babysit,neutral,night,70-100,Morocco,36910560,446300,83
41cf23c2d2,Bad migrane and need to go to dancing tonight.... Not a good combination,negative,morning,0-20,Mozambique,31255435,786380,40
e027169ec6,"Grinding Skyguard rep. This is less awful than I anticipated. Yet, still awful. Last tabard I need",negative,noon,21-30,Myanmar (formerly Burma),54409800,653290,83
6c843b2f56, i dunno if he saw it  happy birthday girl!,positive,night,31-45,Namibia,2540905,8.23E+05,3
29736d30cc, I`m looking forward too see and hear you in Norway!! Live fast!,neutral,morning,46-60,Nauru,10824,20,541
2da7ae1656, awesome,positive,noon,60-70,Nepal,29136808,143350,203
0927b99040, actually workin from home tonight...  you?,neutral,night,70-100,Netherlands,17134872,33720,508
a35cb60975, ****! I want to be at the beach in the sun,negative,morning,0-20,New Zealand,4822233,263310,18
7e49648b99,OH. I am just so tired.,negative,noon,21-30,Nicaragua,6624554,120340,55
b7234b7720,"Well, my dog still isn`t at the shelter. I hope someone good has him",positive,night,31-45,Niger,24206644,1266700,19
5bbef6942a, Well tell me what fashion tips you need and I`m your woman  hehehe,positive,morning,46-60,Nigeria,206139589,910770,226
c9e5ca399a," Hello there, Taylor  I MISS YOU. Its been 2 months </3",negative,noon,60-70,North Korea,25778816,120410,214
d7607b8133,i wear a lot of white  http://tinyurl.com/dlbltg,negative,night,70-100,North Macedonia,2083374,25220,83
2d5206550f, Always a good idea.,positive,morning,0-20,Norway,5421241,3.65E+05,15
13632b763a,  I remember those days. I wasn`t a big fan of Wesley but I really felt for you as a youngster dealing with all that. But you WON!,neutral,noon,21-30,Oman,5106626,309500,16
f841b0e812,getting nails done!!! how relaxing! benji is only 24 hours away!!!!,positive,night,31-45,Pakistan,220892340,770880,287
09e0880c54," not here for long hun, head hurts",negative,morning,46-60,Palau,18094,460,39
bf2419a824,At walmart playing hide and seek.,neutral,noon,60-70,Palestine State,5101414,6020,847
2fac1b845b, whatever do you mean?,neutral,night,70-100,Panama,4314767,74340,58
15fb68bf9f,All of a sudden I`m craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...,negative,morning,0-20,Papua New Guinea,8947024,452860,20
a93afddcdf, That it does  just wish more people would notice it,positive,noon,21-30,Paraguay,7132538,397300,18
8ec2997024, your test works fine for me  tweetdeck is so cool eh?,neutral,night,31-45,Peru,32971854,1280000,26
6559ad2e3e,"Wish you were here, babe",positive,morning,46-60,Philippines,109581078,298170,368
a2867122b8,This morning I rode behind a guy with a bird cage containing a plastic Tyrannosaurus rex attached to his bicycle. I couldn`t get a photo.,negative,noon,60-70,Poland,37846611,3.06E+05,124
17deedd7a4,"I love summer, but I oddly don`t want this school year to end.",positive,night,70-100,Portugal,10196709,91590,111
d27429521a, lolz at your modesty...***kix rox***...now all the gals will be lined up at your door,positive,morning,0-20,Qatar,2881053,11610,248
273aa26c3d,"morning, how is everone? sing to me  You tuck me in, Turn out the light, kept me safe and sound at night. (8)",positive,noon,21-30,Romania,19237691,230170,84
c12a98d8f3,i so can`t be bothered working tomorrow!,positive,night,31-45,Russia,145934462,16376870,9
0a60d11178, kittens are cute then they grow up n become CATS,positive,morning,46-60,Rwanda,12952218,24670,525
58b7571313, .. Guess ol` Tom has another mission impossible ... some of this is like trying to prove innocence .. I didn`t get hugged,negative,noon,60-70,Saint Kitts and Nevis,53199,260,205
a25f8983ff, Hey I was scared last night at 3:17 because of you... and I had several bad nightmares,negative,night,70-100,Saint Lucia,183627,610,301
9b172f1737, gawd. People still remember the preggers comment. Hate you!,negative,morning,0-20,Saint Vincent and the Grenadines,110940,390,284
c016333e85,oh no my tweetdeck is malfunctioning :O il have web will its fixd,negative,noon,21-30,Samoa,198414,2830,70
63ec4e7de6, heeeeey! You abandoned me here on Twitter momma dots?,neutral,night,31-45,San Marino,33931,6.00E+01,566
7796395821, yeah freakin sucks!!,negative,morning,46-60,Sao Tome and Principe,219159,960,228
4f2e517832,Off the a village May Fayre now.  Bag packed ready to bring back home-made goodies.,neutral,noon,60-70,Saudi Arabia,34813871,2149690,16
b3b338bcd0,#followfriday _1001 cuz ive never been added to anyone`s followfriday either  & cuz he`s got a cool picture,positive,night,70-100,Senegal,16743927,192530,87
add95c3198,Sooo tell me how I lost followerzzz,neutral,morning,0-20,Serbia,8737371,87460,100
c41d259d60, - thanks for the reply. Of course it doesn`t really explain it  I googled it but found no explanation.,neutral,noon,21-30,Seychelles,98347,460,214
3099b7261b,looking for people,neutral,night,31-45,Sierra Leone,7976983,72180,111
15892f296d,wishes that you would see not with your eyes but with your heart.  http://plurk.com/p/sv5bb,positive,morning,46-60,Singapore,5850342,700,8358
d12acf4e01, Awwww   i`ve got some photos of cute bunnies,positive,noon,60-70,Slovakia,5459642,48088,114
dad3160e52,long day and i still have to mow the lawn,negative,night,70-100,Slovenia,2078938,20140,103
598603422e,Shoot. Only 12 miles,neutral,morning,0-20,Solomon Islands,686884,2.80E+04,25
c3c79502f9, why has it been so long since i have talked to you let alone seen you?? it makes me sad,negative,noon,21-30,Somalia,15893222,627340,25
02b43cd23c,Happy mothers day mom  ?,positive,night,31-45,South Africa,59308690,1213090,49
058f39acca,I want cookies for breakfast! Luckily I`m an adult and can do that!,positive,morning,46-60,South Korea,51269185,97230,527
90af5c843a,Mowing #6. I hate my lawn,negative,noon,60-70,South Sudan,11193725,610952,18
200f2b3566," you shouldnt have to reset more than once  if it doesn`t work right the first time, something is up",neutral,night,70-100,Spain,46754778,498800,94
85f882c027, yeah.. I left cause my pc can`t run the client anymore. I had thought I would have a new one by now..,negative,morning,0-20,Sri Lanka,21413249,62710,341
5496094dac,Feeling bad for  profile pic,negative,noon,21-30,Sudan,43849260,1765048,25
866582d5a3,CAPONES island in 2 days!!! my summer is just starting...,neutral,night,31-45,Suriname,586632,156000,4
cb20977501,movie then sleep! Today was good day  [{H!--D3ff}],positive,morning,46-60,Sweden,10099265,410340,25
ddfc2cc8b3,Planing on going on a little ride on the mtb on monday  may be in over to the tower...,neutral,noon,60-70,Switzerland,8654622,3.95E+04,219
0de656eac1,**** fiesta at my house in my mouth  hit me up for the password,neutral,night,70-100,Syria,17500658,183630,95
6be59d11d8,the live version is so much better  ? http://blip.fm/~79my3,neutral,morning,0-20,Tajikistan,9537645,139960,68
31d260e718, There`s no pause button in the game of life.,neutral,noon,21-30,Tanzania,59734218,885800,67
b22aff92be," that`s black market material right there, my friend!",neutral,night,31-45,Thailand,69799978,510890,137
96cc75e508,is getting married in Vegas in November by an Elvis impersonator am so happy!!!,positive,morning,46-60,Timor-Leste,1318445,14870,89
664d148574, tried to join the chat but the site would not let me sign in,negative,noon,60-70,Togo,8278724,54390,152
6872aea3a9, where is home??,neutral,night,70-100,Tonga,105695,720,147
21d77a32fb,singing songs and filming movies  what i do best,positive,morning,0-20,Trinidad and Tobago,1399488,5130,273
5d8cc77f93,Their songs make me want to cry..,negative,noon,21-30,Tunisia,11818619,155360,76
803e9c0931,While driving u come across aggressive driving behaviour by another driver. U should... Chase the car 2 tell the driver how to drive,negative,night,31-45,Turkey,84339067,7.70E+05,110
16ca8a5ecc,The Mediteranian Kitchen...oh well can`t get them all right.,neutral,morning,46-60,Turkmenistan,6031200,469930,13
038c049e2a, what`s wrong?,neutral,noon,60-70,Tuvalu,11792,30,393
28e1999323, Wasn`**** totally awesome?  Seeing the rebooted crew was so nice!,positive,night,70-100,Uganda,45741007,199810,229
438a7d203a,"_d thats good to know, and I bet he looks just like you.",positive,morning,0-20,Ukraine,43733762,579320,75
0117a03b6d,_43 HAHHAHAH that really made me laugh out loudd! ahahahahahahahahah your fuunny!!,positive,noon,21-30,United Arab Emirates,9890402,83600,118
cad99e531f,i so wish i could get pregnant!!,positive,night,31-45,United Kingdom,67886011,241930,281
4987bf323b, im trying to fix it.. it doesnt do it  and its 'ahi dios mio' but u did good lol,positive,morning,46-60,United States of America,331002651,9147420,36
ba3e84e67f, Hiya! Missed you too! What have you been up to?,negative,noon,60-70,Uruguay,3473730,175020,20
b2dc59805a,out to play,neutral,night,70-100,Uzbekistan,33469203,425400,79
797aa81fda,Really sick,negative,morning,0-20,Vanuatu,307145,1.22E+04,25
0ea64bcbe6,yay  my `only on sundays` maid came!! the house will be clean again!!!,neutral,noon,21-30,Venezuela,28435940,882050,32
4e7fb463e0,"Thx, Robban  http://www.sk-gaming.com/match/17905",positive,night,31-45,Vietnam,97338579,310070,314
b33c27ad85, thanks JK!!!  Love ya to death,positive,morning,46-60,Yemen,29825964,527970,56
50eb2a08c3,Going to Al Ain.  Need to check out one store. Hope i find things that I`m looking for.,positive,noon,60-70,Zambia,18383955,743390,25
0ee55890a7,Geeze- I`m just wondering what is wrong with some people. I either need to go for a run or go to sleep. Tomorrow should be a fun day.,neutral,night,70-100,Zimbabwe,14862924,386850,38
eb9c11eb52,So my parents are too busy making me feel like **** to realise that I`ve got worse and need to see a doctor again. No sleep sucks,negative,morning,0-20,Afghanistan,38928346,652860,60
cf16d0c659," G`night Jonathan! I tried to stay up, I really did. I can`t wait till ur in my timezone! Will be so much easier then!",positive,noon,21-30,Albania,2877797,27400,105
f7aa65a988,Prom is so over rated!! Irritated... Going to bed goodnight,negative,night,31-45,Algeria,43851044,2381740,18
b8a3fea60e,"Look, everyone! I`m a bad boy! I`m ranked higher than Meghan McCain!  http://tinyurl.com/oj76mz",neutral,morning,46-60,Andorra,77265,470,164
5389177883,_rain i wanna see her hair  hows everyone?,neutral,noon,60-70,Angola,32866272,1246700,26
e59fd12277, Or FTRH -- For The Ride Home,neutral,night,70-100,Antigua and Barbuda,97929,440,223
264f1af9a0," english screwed up my overall percentage in X, in XII again and probably in adm tests too. **** happens.",negative,morning,0-20,Argentina,45195774,2736690,17
d19724f22f, i want chinese food really baaad.,positive,noon,21-30,Armenia,2963243,28470,104
9d4dfb1f9e,is downloading songs  http://plurk.com/p/rp8wx,neutral,night,31-45,Australia,25499884,7682300,3
e6b380cd3d," I almost said, 'and grammer no exist either' grunt.  But I stopped myself",neutral,morning,46-60,Austria,9006398,8.24E+04,109
993c6eadd2,"_d you`re gonna take good care of that little baby and he`s gonna be a strong boy, that`s for sure",positive,noon,60-70,Azerbaijan,10139177,82658,123
7993d38b85, ha! lemme know what you find (tho I suspect it will be a lot of complaints). Have a peaceful night my friend,positive,night,70-100,Bahamas,393244,10010,39
42caab438e,seeing shane dawson videos,neutral,morning,0-20,Bahrain,1701575,760,2239
b5e7df1efe,  sad face.,negative,noon,21-30,Bangladesh,164689383,130170,1265
017a0bbb36,Aaaaahhhh.... Friday!!!! but.......     Funeral at 5,negative,night,31-45,Barbados,287375,430,668
12cfea907c,Already misses ,negative,morning,46-60,Belarus,9449323,202910,47
43449f0068,"_laura_LP ok thanks for the help! I hope they respond to me sooner or later, then! thanks!",positive,noon,60-70,Belgium,11589623,30280,383
795556dc39,  out of commish for a few days in ATL with fam.  Just saw the updates to the .net website... Looks AWESOME!,positive,night,70-100,Belize,397628,22810,17
38e8111514," awww that sucks  also, when i finish uni, you should totally have a mini housewarming. yes, work it around my schedule, LOL.",negative,morning,0-20,Benin,12123200,112760,108
18ee9d146c,at famous dave`s with my mom. so hungry.,neutral,noon,21-30,Bhutan,771608,3.81E+04,20
f5e9c0eef2, I would vote for you Miley but I live in Ireland  You`ll be fine  Good luck! Slï¿½n!(bye in irish ) Sorcha xxxx,positive,night,31-45,Bolivia,11673021,1083300,11
434e673353,"home for the nite, sleeping on the pull out bed with Maggie. wishing it was _durden  I got to find a apt",neutral,morning,46-60,Bosnia and Herzegovina,3280819,51000,64
8b8932427d,"Oh..Summer begins..yay..  The fighting, Crying and stress has started with the kids..It`s only been 3 hrs since they got out.",negative,noon,60-70,Botswana,2351627,566730,4
c5f383c0a0,I feel so deflated. No more doggy.,negative,night,70-100,Brazil,212559417,8358140,25
1.03E+211, sad about young love coming to an end  They were sooo cute together!,neutral,morning,0-20,Brunei,437479,5270,83
8def10379e, Omg really??  I sowwy! I`ll do it again! :-p I was tired when I did that this morning. :-p lol!,negative,noon,21-30,Bulgaria,6948445,108560,64
74af7e0835,"owww, back pain  hm, walmart or no? i could get cupcakes~",negative,night,31-45,Burkina Faso,20903273,273600,76
bb53ba1a89, i can`t believe that you guys are gonna stay just one day here in Rio de Janeiro again,neutral,morning,46-60,Burundi,11890784,25680,463
11c5c7850b,Making my boyfriend look different.  He`s  cute no matter what. <3,positive,noon,60-70,C�te d'Ivoire,26378274,318000,83
455ef3e9b6, LOL thx,positive,night,70-100,Cabo Verde,555987,4.03E+03,138
d761530c7f,is working until 11 tonight  http://plurk.com/p/x2kbv,neutral,morning,0-20,Cambodia,16718965,176520,95
ed1e06027c, well there go my peace corps prospects.,positive,noon,21-30,Cameroon,26545863,472710,56
47b4e91e39,rmbr the time when we torned for the night in sentosa? I was the only one who didnt have to spit out the ' 3 unknown facts' abt myself,neutral,night,31-45,Canada,37742154,9093510,4
0b39781a5a," Good idea! I`ll have to remove all the old receipts, tissue paper and other nonsense before I can take a pic",positive,morning,46-60,Central African Republic,4829767,622980,8
8fbd0b19e6,"whatever will be, will be",neutral,noon,60-70,Chad,16425864,1259200,13
8429087609,Wango tango!!! Good night all,neutral,night,70-100,Chile,19116201,743532,26
7900f25fbc, i`m not in the best financial situation myself at the moment. i`m beyond broke. my money is spend as soon as i earn it atm,negative,morning,0-20,China,1439323776,9388211,153
312868ebb2, hello you!  you should totally go to the biggest shopping center in Europe and we can go shopping together   ****,neutral,noon,21-30,Colombia,50882891,1109500,46
5f2c04acd4,Fixing openbox theme a little,neutral,night,31-45,Comoros,869601,1861,467
55b8e44c02,Selling my laptop for CHEAP if anyone`s interested!  17' Toshiba 1.3gig ram,neutral,morning,46-60,Congo (Congo-Brazzaville),5518087,3.42E+05,16
106aa6d022,"If recent experience is anything to go by, I fear I might be going off Indian food. This is not good, people. Not good",negative,noon,60-70,Costa Rica,5094118,51060,100
4975dbda48, i wish i wasn`t all  bummed but i kinda am,positive,night,70-100,Croatia,4105267,55960,73
a3145ba47e, Hey Mitchel when will you be live again? I didn`t get a chance to call you,negative,morning,0-20,Cuba,11326616,106440,106
7e19629684,looking at the sunshine out of my office window,neutral,noon,21-30,Cyprus,1207359,9240,131
3495e809b3,Back is SORE... should not have done that jump last night,negative,night,31-45,Czechia (Czech Republic),10708981,77240,139
a1b67a24aa, We are working,neutral,morning,46-60,Democratic Republic of the Congo,89561403,2267050,40
a0b1828b67,'Brides a la mode' pow wow first thing this morning   This past weekend`s lovely wedding fresh in my mind... pics soon!,positive,noon,60-70,Denmark,5792202,42430,137
311985067b,"Just got my paycheck... April bonus can b deposited 2day the rest, gotta wait til Mon.",neutral,night,70-100,Djibouti,988000,23180,43
c392253b42,nope no way in to stop  just have to put up wiv it,neutral,morning,0-20,Dominica,71986,750,96
62f3e63c1a,I recommend returning your broken duck toy with the batteis it came with or the person who your giving it to may get mad!!  trust me!,neutral,noon,21-30,Dominican Republic,10847910,4.83E+04,225
2942ed51f6," Not so much a substitute as a variation. Ate too much, too. Oof",neutral,night,31-45,Ecuador,17643054,248360,71
03798acf38,"such beautiful weather.. .why are u sick, baby ?  @ tanapolis",positive,morning,46-60,Egypt,102334404,995450,103
fd1ebb37c3, Oui mademoiselle. You can barely turn around these days without bumping into one.,neutral,noon,60-70,El Salvador,6486205,20720,313
478a005e7c,Flickr pics Chester Zoo: danwtmoon posted a photo:   'WELCOME' to Chester Zoo by Jockey  http://tinyurl.com/cq7qw8,neutral,night,70-100,Equatorial Guinea,1402985,28050,50
